source_file,frame_no,timestamp_epoch,tx,rx,bssid,frame_protocols,type_subtype_hex,phase,ap_identity,ssid,rsn_present,akm_suites,pairwise_cipher,pmf_capable,pmf_required,auth_alg,assoc_status_code,has_eapol,eapol_msg_num,eapol_replay_counter
track3_filtered_modified_authorized_only.pcapng,196,1781520236.550918000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,197,1781520236.555185000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0001,auth_assoc,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,198,1781520236.559706000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan:llc:eapol,0x0028,key_exchange,ap2,,0,,,,,,,1,,1
track3_filtered_modified_authorized_only.pcapng,199,1781520236.564449000,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan:llc:eapol,0x0028,key_exchange,ap2,,0,,,,,,,1,,1
track3_filtered_modified_authorized_only.pcapng,200,1781520236.570900000,c8:3a:35:c2:e0:b7,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan:llc:eapol,0x0028,key_exchange,ap2,,0,,,,,,,1,,2
track3_filtered_modified_authorized_only.pcapng,201,1781520236.573206000,d6:35:1d:9f:89:fc,ff:ff:ff:ff:ff:ff,d6:35:1d:9f:89:fc,radiotap:wlan_radio:wlan,0x0008,discovery,ap1,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,202,1781520236.576087000,32:0a:af:e3:81:b2,c8:3a:35:c2:e0:b7,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan:llc:eapol,0x0028,key_exchange,ap2,,0,,,,,,,1,,2
track3_filtered_modified_authorized_only.pcapng,203,1781520236.651977000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,204,1781520236.754841000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
track3_filtered_modified_authorized_only.pcapng,205,1781520236.857141000,c8:3a:35:c2:e0:b7,ff:ff:ff:ff:ff:ff,c8:3a:35:c2:e0:b7,radiotap:wlan_radio:wlan,0x0008,discovery,ap2,,0,,,,,,,0,,
